name            ,selector                       ,type        ,unused ,width ,editable ,decimals ,isPill ,align  ,cn ,download ,chart  ,searchable ,detail ,wide ,underField ,onDisplay      ,onAccept ,onValidate
Basics          ,separator0                     ,separator   ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,     ,           ,               ,         ,
ID              ,id                             ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,true       ,2      ,     ,           ,getFieldValue  ,         ,
Date/Block      ,date                           ,string      ,       ,2     ,true     ,         ,       ,       ,   ,true     ,range  ,           ,0      ,     ,marker     ,getFieldValue  ,         ,
Marker          ,marker                         ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,     ,           ,getFieldValue  ,         ,
Stat            ,marker2                        ,string      ,       ,1     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,     ,           ,getFieldValue  ,         ,
From            ,from                           ,address     ,       ,5     ,true     ,         ,       ,       ,   ,true     ,range  ,true       ,0      ,     ,fromName   ,getFieldValue  ,         ,
fromName        ,fromName                       ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,true       ,1      ,     ,           ,getFieldValue  ,         ,
To              ,to                             ,address     ,       ,5     ,true     ,         ,       ,       ,   ,true     ,range  ,true       ,0      ,     ,toName     ,getFieldValue  ,         ,
toName          ,toName                         ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,true       ,1      ,     ,           ,getFieldValue  ,         ,
Value           ,value                          ,wei         ,       ,0     ,true     ,         ,       ,       ,   ,         ,domain ,           ,2      ,     ,           ,               ,         ,
Ether           ,ether                          ,double      ,       ,0     ,true     ,         ,       ,       ,   ,         ,domain ,           ,1      ,     ,           ,               ,         ,
Relevant Events ,separator4                     ,separator   ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,     ,           ,getFieldValue  ,         ,
Compressed Logs ,compressedLog                  ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,true ,           ,getFieldValue  ,         ,
Input Data      ,separator2                     ,separator   ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,0      ,     ,           ,               ,         ,
Compressed Tx   ,compressedTx                   ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,true ,           ,getFieldValue  ,         ,
Reconcilations  ,separator1                     ,separator   ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,0      ,     ,           ,               ,         ,
Asset           ,statements.asset               ,string      ,       ,1     ,         ,         ,       ,center ,   ,true     ,       ,           ,0      ,     ,           ,getFieldValue  ,         ,
Beg             ,statements.begBal              ,value       ,       ,2     ,         ,         ,       ,       ,   ,true     ,       ,           ,0      ,     ,           ,getFieldValue  ,         ,
Beg Diff        ,statements.begBalDiff          ,value       ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,getFieldValue  ,         ,
Total In        ,statements.totalIn             ,value       ,       ,2     ,         ,         ,       ,       ,   ,true     ,       ,           ,0      ,     ,           ,getFieldValue  ,         ,
Income          ,statements.amountIn            ,value       ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,getFieldValue  ,         ,
I-Income        ,statements.internalIn          ,value       ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,getFieldValue  ,         ,
