name           ,selector         ,type      ,unused ,width ,editable ,decimals ,isPill ,align  ,cn     ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID             ,id               ,string    ,       ,0     ,         ,         ,       ,       ,       ,         ,      ,true       ,2      ,     ,           ,getFieldValue ,         ,
Cache Type     ,type             ,string    ,       ,0     ,         ,         ,       ,       ,       ,         ,      ,           ,2      ,     ,           ,              ,         ,
Block Range    ,blockRange       ,string    ,       ,0     ,         ,         ,       ,center ,       ,         ,both  ,           ,2      ,     ,           ,getFieldValue ,         ,
Block Span     ,blockSpan        ,uint64    ,       ,1     ,         ,         ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,getFieldValue ,         ,
Duration       ,duration         ,uint64    ,       ,1     ,         ,         ,       ,       ,       ,         ,      ,           ,0      ,     ,           ,getFieldValue ,         ,
Seconds        ,seconds          ,uint64    ,       ,0     ,         ,         ,       ,       ,       ,         ,both  ,           ,2      ,     ,           ,getFieldValue ,         ,
First Block    ,firstAppearance  ,blknum    ,       ,1     ,         ,         ,       ,       ,       ,         ,both  ,           ,2      ,     ,           ,              ,         ,
Latest Block   ,latestAppearance ,blknum    ,       ,1     ,         ,         ,       ,       ,       ,         ,      ,           ,2      ,     ,           ,              ,         ,
nAddrs         ,nAddresses       ,uint64    ,       ,1     ,         ,         ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,              ,         ,
nApps          ,nAppearances     ,uint64    ,       ,1     ,         ,         ,       ,       ,apps   ,         ,both  ,           ,0      ,     ,           ,              ,         ,
nAddrs/nBlock  ,addrsPerBlock    ,double    ,       ,1     ,         ,5        ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,getFieldValue ,         ,
nApps/nBlock   ,appsPerBlock     ,double    ,       ,1     ,         ,5        ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,getFieldValue ,         ,
nApps/nAddress ,appsPerAddr      ,double    ,       ,1     ,         ,5        ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,getFieldValue ,         ,
First TS       ,firstTs          ,timestamp ,       ,0     ,         ,         ,       ,       ,       ,         ,both  ,           ,2      ,     ,           ,              ,         ,
Latest TS      ,latestTs         ,timestamp ,       ,0     ,         ,         ,       ,       ,       ,         ,      ,           ,2      ,     ,           ,              ,         ,
Filename       ,filename         ,string    ,       ,0     ,         ,         ,       ,       ,       ,         ,      ,true       ,2      ,     ,           ,              ,         ,
Chunk Size     ,indexSizeBytes   ,filesize  ,       ,1     ,         ,         ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,              ,         ,
Bloom Size     ,bloomSizeBytes   ,filesize  ,       ,1     ,         ,         ,       ,       ,       ,         ,both  ,           ,0      ,     ,           ,              ,         ,
Bloom Hash     ,bloom_hash       ,hash      ,       ,1     ,         ,         ,       ,center ,hashes ,         ,      ,true       ,0      ,     ,           ,              ,         ,
Chunk Hash     ,index_hash       ,hash      ,       ,1     ,         ,         ,       ,center ,hashes ,         ,      ,true       ,0      ,     ,           ,              ,         ,
