name             ,selector         ,type         ,unused ,width ,editable ,decimals ,isPill ,align ,cn ,download ,chart ,searchable ,detail ,wide ,underField ,onDisplay     ,onAccept ,onValidate
ID               ,id               ,string       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,getFieldValue ,         ,
blockHash        ,blockHash        ,hash         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
blockNumber      ,blockNumber      ,blknum       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
subtraces        ,subtraces        ,uint64       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
traceAddress     ,traceAddress     ,CStringArray ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
transactionHash  ,transactionHash  ,hash         ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
transactionIndex ,transactionIndex ,blknum       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
type             ,type             ,string       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
error            ,error            ,string       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
articulatedTrace ,articulatedTrace ,CFunction    ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,true       ,       ,     ,           ,              ,         ,
compressedTrace  ,compressedTrace  ,string       ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
action           ,action           ,CTraceAction ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
result           ,result           ,CTraceResult ,       ,1     ,         ,         ,       ,      ,   ,         ,      ,           ,       ,     ,           ,              ,         ,
